Tokens         Lexemes        
------         -------        
keyword        function       
identifier     convert1x      
seperator      (              
identifier     fahr           
keyword        int            
seperator      )              
seperator      {              
keyword        return         
integer        5              
operator       *              
seperator      (              
identifier     fahr           
operator       -              
integer        32             
seperator      )              
operator       /              
integer        9              
seperator      ;              
seperator      }              
seperator      %%             
keyword        int            
identifier     low            
seperator      ,              
identifier     high           
seperator      ,              
identifier     step           
seperator      ;              
keyword        get            
seperator      (              
identifier     low            
seperator      ,              
identifier     high           
seperator      ,              
identifier     step           
seperator      )              
seperator      ;              
keyword        while          
seperator      (              
identifier     low            
operator       <=             
identifier     high           
seperator      )              
seperator      {              
keyword        put            
seperator      (              
identifier     low            
seperator      )              
seperator      ;              
keyword        put            
seperator      (              
identifier     convert1x      
seperator      (              
identifier     low            
seperator      )              
seperator      )              
seperator      ;              
identifier     low            
operator       =              
identifier     low            
operator       +              
identifier     step           
seperator      ;              
seperator      }              
seperator      %%             
